0		0.00
1		0.00
2		0.00
3		0.00
4		0.00
5		0.00
6		0.00
7		0.00
8		0.00
9		0.00
10		0.00
11		0.00
12		0.00
13		0.00
14		0.00
15		0.00
16		0.00
17		0.00
18		0.00
19		0.00
20		0.00
21		0.00
22		0.00
23		0.00
24		0.00
25		0.00
26		0.00
27		0.00
28		0.00
29		0.00
30		0.00
31		0.00
32		0.00
33		0.00
34		0.00
35		0.00
36		0.00
37		0.00
38		0.00
39		0.00
40		0.00
41		0.00
42		0.00
43		0.00
44		0.00
45		0.00
46		0.18
47		0.18
48		0.19
49		0.19
50		0.20
51		0.20
52		0.20
53		0.20
54		0.21
55		0.21
56		0.22
57		0.22
58		0.22
59		0.23
60		0.23
61		0.23
62		0.23
63		0.23
64		0.23
65		0.23
66		0.26
67		0.26
68		0.26
69		0.26
70		0.26
71		0.26
72		0.26
73		0.29
74		0.29
75		0.30
76		0.30
77		0.30
78		0.30
79		0.30
80		0.30
81		0.32
82		0.32
83		0.32
84		0.32
85		0.34
86		0.34
87		0.34
88		0.34
89		0.34
90		0.34
91		0.34
92		0.36
93		0.36
94		0.37
95		0.38
96		0.38
97		0.38
98		0.38
99		0.39
100		0.39
101		0.39
102		0.40
103		0.40
104		0.40
105		0.40
106		0.42
107		0.42
108		0.42
109		0.43
110		0.43
111		0.44
112		0.44
113		0.44
114		0.45
115		0.45
116		0.46
117		0.46
118		0.46
119		0.46
120		0.47
121		0.47
122		0.47
123		0.48
124		0.48
125		0.48
126		0.48
127		0.48
128		0.48
129		0.48
130		0.48
131		0.48
132		0.48
133		0.52
134		0.53
135		0.53
136		0.53
137		0.54
138		0.54
139		0.55
140		0.55
141		0.56
142		0.56
143		0.56
144		0.57
145		0.57
146		0.57
147		0.57
148		0.58
149		0.59
150		0.59
151		0.59
152		0.60
153		0.60
154		0.60
155		0.61
156		0.61
157		0.61
158		0.62
159		0.62
160		0.62
161		0.63
162		0.64
163		0.64
164		0.65
165		0.65
166		0.65
167		0.65
168		0.66
169		0.66
170		0.67
171		0.67
172		0.68
173		0.68
174		0.68
175		0.69
176		0.69
177		0.70
178		0.70
179		0.70
180		0.71
181		0.71
182		0.72
183		0.72
184		0.72
185		0.73
186		0.73
187		0.73
188		0.74
189		0.74
190		0.75
191		0.75
192		0.76
193		0.76
194		0.76
195		0.77
196		0.77
197		0.78
198		0.78
199		0.78
200		0.79
201		0.79
202		0.80
203		0.80
204		0.80
205		0.81
206		0.81
207		0.81
208		0.82
209		0.82
210		0.83
211		0.83
212		0.83
213		0.84
214		0.84
215		0.85
216		0.85
217		0.85
218		0.86
219		0.86
220		0.87
221		0.87
222		0.87
223		0.88
224		0.88
225		0.89
226		0.89
227		0.89
228		0.90
229		0.90
230		0.90
231		0.91
232		0.91
233		0.92
234		0.92
235		0.93
236		0.93
237		0.93
238		0.94
239		0.94
240		0.94
241		0.95
242		0.95
243		0.95
244		0.95
245		0.95
246		0.95
247		0.95
248		0.95
249		0.95
250		0.95
251		0.95
252		0.95
253		0.95
254		0.95
255		1.00
